interval_begin,interval_end,edge_id,traveltime
120,180,103,14.65
120,180,114,27.46
120,180,12,31.68
120,180,21,11.35
120,180,23,153.47
120,180,26,11.24
120,180,29,10.89
120,180,310,11.07
120,180,32,11.62
120,180,34,12.77
120,180,37,10.64
120,180,411,10.51
120,180,43,97.08
120,180,45,10.95
120,180,48,11.61
120,180,54,36.26
120,180,62,31.75
120,180,73,15.3
120,180,84,29.05
120,180,92,33.49
180,240,103,26.28
180,240,114,38.9
180,240,12,19.9
180,240,21,12.17
180,240,23,20.16
180,240,26,10.88
180,240,29,10.25
180,240,310,10.97
180,240,32,12.07
180,240,34,11.24
180,240,37,11.19
180,240,411,10.15
180,240,43,21.4
180,240,45,10.08
180,240,48,11.94
180,240,54,20.67
180,240,62,43.96
180,240,73,22.93
180,240,84,34.55
180,240,92,39.79
240,300,103,20.57
240,300,114,26.03
240,300,12,35.13
240,300,21,10.79
240,300,23,26.67
240,300,26,10.77
240,300,29,10.0
240,300,310,9.35
240,300,32,11.15
240,300,34,11.61
240,300,37,10.8
240,300,411,9.76
240,300,43,27.78
240,300,45,10.61
240,300,48,11.98
240,300,54,37.39
240,300,62,23.92
240,300,73,23.18
240,300,84,22.92
240,300,92,21.37
300,360,103,14.44
300,360,114,28.02
300,360,12,36.14
300,360,21,12.18
300,360,23,99.93
300,360,26,12.23
300,360,29,12.4
300,360,310,10.22
300,360,32,13.19
300,360,34,11.75
300,360,37,11.93
300,360,411,10.72
300,360,43,199.17
300,360,45,10.34
300,360,48,12.06
300,360,54,32.06
300,360,62,33.94
300,360,73,15.53
300,360,84,27.9
300,360,92,31.17
360,420,103,22.94
360,420,114,34.75
360,420,12,19.43
360,420,21,11.65
360,420,23,19.94
360,420,26,10.82
360,420,29,10.51
360,420,310,11.13
360,420,32,11.72
360,420,34,10.56
360,420,37,11.76
360,420,411,10.75
360,420,43,21.15
360,420,45,9.59
360,420,48,11.97
360,420,54,21.63
360,420,62,38.5
360,420,73,25.83
360,420,84,39.01
360,420,92,45.27
420,480,103,22.95
420,480,114,22.94
420,480,12,32.21
420,480,21,13.96
420,480,23,32.27
420,480,26,12.61
420,480,29,11.79
420,480,310,10.13
420,480,32,12.39
420,480,34,10.68
420,480,37,10.39
420,480,411,10.5
420,480,43,22.41
420,480,45,9.47
420,480,48,11.68
420,480,54,40.92
420,480,62,21.56
420,480,73,21.24
420,480,84,20.91
420,480,92,23.37
480,540,103,16.31
480,540,114,41.95
480,540,12,33.49
480,540,21,11.92
480,540,23,108.49
480,540,26,11.12
480,540,29,10.6
480,540,310,10.9
480,540,32,11.68
480,540,34,11.35
480,540,37,11.91
480,540,411,10.46
480,540,43,186.97
480,540,45,10.1
480,540,48,11.52
480,540,54,40.34
480,540,62,47.61
480,540,73,15.42
480,540,84,36.19
480,540,92,55.58
540,600,12,63.52
540,600,21,11.65
540,600,23,21.97
540,600,32,11.44
540,600,34,11.57
540,600,43,22.62
540,600,45,10.38
540,600,54,54.92
