interval_begin,interval_end,edge_id,traveltime
0,60,103,19.9
0,60,114,15.61
0,60,12,19.04
0,60,21,12.11
0,60,23,28.44
0,60,26,11.05
0,60,29,10.38
0,60,310,9.83
0,60,32,16.91
0,60,34,14.01
0,60,37,11.61
0,60,411,9.94
0,60,43,18.26
0,60,45,11.35
0,60,54,17.57
0,60,62,35.08
0,60,73,15.4
0,60,84,15.14
0,60,92,21.84
60,120,103,33.79
60,120,114,19.62
60,120,12,62.56
60,120,21,11.17
60,120,23,283.28
60,120,26,10.81
60,120,29,10.75
60,120,310,9.75
60,120,32,33.87
60,120,34,55.03
60,120,37,11.99
60,120,411,12.7
60,120,43,25.81
60,120,45,10.42
60,120,48,12.28
60,120,54,36.51
60,120,62,32.72
60,120,73,41.18
60,120,84,21.92
60,120,92,34.51
120,180,103,102.43
120,180,114,61.54
120,180,12,215.8
120,180,21,10.49
120,180,23,1618.54
120,180,26,11.23
120,180,29,11.12
120,180,310,9.89
120,180,32,67.63
120,180,34,31.13
120,180,37,12.22
120,180,411,10.69
120,180,43,51.45
120,180,45,10.23
120,180,48,11.36
120,180,54,27.52
120,180,62,112.86
120,180,73,23.6
120,180,84,35.27
120,180,92,84.85
180,240,103,108.42
180,240,114,320.86
180,240,12,256.84
180,240,21,11.14
180,240,23,254.74
180,240,26,11.59
180,240,29,10.7
180,240,310,10.83
180,240,32,66.48
180,240,34,60.52
180,240,37,12.28
180,240,411,10.33
180,240,43,73.55
180,240,45,9.79
180,240,48,11.96
180,240,54,27.06
180,240,62,547.34
180,240,73,23.53
180,240,84,27.19
180,240,92,452.52
240,300,103,35.97
240,300,114,1604.47
240,300,12,1668.96
240,300,21,10.92
240,300,23,161.2
240,300,26,11.41
240,300,29,10.54
240,300,310,11.18
240,300,32,115.87
240,300,34,79.87
240,300,37,12.54
240,300,411,10.68
240,300,43,365.61
240,300,45,9.78
240,300,48,11.36
240,300,54,88.94
240,300,62,100000.0
240,300,73,46.31
240,300,84,38.65
240,300,92,33239.17
300,360,103,150.34
300,360,114,1086.62
300,360,12,485.23
300,360,21,10.44
300,360,23,227.01
300,360,26,11.4
300,360,29,11.54
300,360,310,10.61
300,360,32,220.41
300,360,34,122.19
300,360,37,12.41
300,360,411,13.27
300,360,43,457.26
300,360,45,9.58
300,360,48,12.02
300,360,54,372.41
300,360,62,1135.03
300,360,73,67.98
300,360,84,358.03
300,360,92,65.48
360,420,114,1375.58
360,420,12,561.23
360,420,21,11.66
360,420,23,163.21
360,420,26,11.35
360,420,29,10.5
360,420,310,11.33
360,420,32,78.84
360,420,34,84.19
360,420,37,11.55
360,420,411,11.36
360,420,43,100.26
360,420,45,10.15
360,420,48,11.28
360,420,54,142.64
360,420,62,1778.98
360,420,84,784.05
360,420,92,234.75
420,480,114,482.71
420,480,12,2227.07
420,480,21,11.54
420,480,23,176.08
420,480,26,11.31
420,480,29,11.09
420,480,310,10.99
420,480,32,126.02
420,480,34,54.47
420,480,411,11.03
420,480,43,688.47
420,480,45,9.93
420,480,48,12.37
420,480,62,3197.54
420,480,92,902.07
480,540,114,527.64
480,540,12,450.74
480,540,21,11.06
480,540,23,809.73
480,540,26,10.05
480,540,29,11.24
480,540,310,9.4
480,540,32,162.69
480,540,37,12.57
480,540,411,10.19
480,540,43,224.94
480,540,45,9.52
480,540,48,11.59
480,540,54,1231.05
480,540,62,363.8
480,540,84,445.85
480,540,92,320.21
