interval_begin,interval_end,edge_id,traveltime
120,180,103,26.7
120,180,114,26.31
120,180,12,40.97
120,180,21,11.56
120,180,23,49.85
120,180,26,11.02
120,180,29,9.96
120,180,310,10.69
120,180,32,41.96
120,180,34,33.25
120,180,37,10.87
120,180,411,10.67
120,180,43,48.0
120,180,45,10.15
120,180,48,13.18
120,180,54,36.36
120,180,62,25.7
120,180,73,28.34
120,180,84,27.58
120,180,92,26.14
180,240,103,39.27
180,240,114,37.87
180,240,12,23.79
180,240,21,11.52
180,240,23,15.02
180,240,26,10.95
180,240,29,10.21
180,240,310,11.49
180,240,32,13.22
180,240,34,23.07
180,240,37,12.38
180,240,411,10.34
180,240,43,13.87
180,240,45,10.61
180,240,48,11.48
180,240,54,21.11
180,240,62,35.23
180,240,73,34.41
180,240,84,34.95
180,240,92,33.09
240,300,103,21.06
240,300,114,20.53
240,300,12,41.95
240,300,21,11.14
240,300,23,14.48
240,300,26,10.84
240,300,29,10.19
240,300,310,10.62
240,300,32,15.65
240,300,34,47.55
240,300,37,11.82
240,300,411,11.6
240,300,43,18.05
240,300,45,12.69
240,300,48,11.18
240,300,54,37.6
240,300,62,24.42
240,300,73,23.66
240,300,84,23.45
240,300,92,21.43
300,360,103,24.52
300,360,114,24.19
300,360,12,35.56
300,360,21,11.35
300,360,23,41.52
300,360,26,10.58
300,360,29,10.71
300,360,310,10.53
300,360,32,27.87
300,360,34,49.43
300,360,37,12.55
300,360,411,10.34
300,360,43,32.92
300,360,45,9.68
300,360,48,10.96
300,360,54,42.05
300,360,62,26.83
300,360,73,27.27
300,360,84,26.4
300,360,92,25.2
360,420,103,35.03
360,420,114,34.12
360,420,12,21.96
360,420,21,11.37
360,420,23,14.69
360,420,26,11.78
360,420,29,10.52
360,420,310,10.96
360,420,32,16.27
360,420,34,19.8
360,420,37,10.59
360,420,411,11.37
360,420,43,12.39
360,420,45,10.85
360,420,48,11.37
360,420,54,22.36
360,420,62,32.52
360,420,73,38.98
360,420,84,37.47
360,420,92,35.74
420,480,103,23.27
420,480,114,22.94
420,480,12,38.14
420,480,21,10.43
420,480,23,18.35
420,480,26,11.37
420,480,29,10.67
420,480,310,10.07
420,480,32,35.88
420,480,34,31.3
420,480,37,10.33
420,480,411,11.43
420,480,43,16.37
420,480,45,10.72
420,480,48,12.95
420,480,54,40.24
420,480,62,21.63
420,480,73,21.11
420,480,84,26.4
420,480,92,24.0
480,540,103,40.27
480,540,114,38.12
480,540,12,48.32
480,540,21,13.7
480,540,23,29.23
480,540,26,11.38
480,540,29,9.98
480,540,310,11.14
480,540,32,49.68
480,540,34,36.85
480,540,37,12.31
480,540,411,11.05
480,540,43,44.57
480,540,45,10.21
480,540,48,11.91
480,540,54,40.1
480,540,62,36.93
480,540,73,34.63
480,540,84,37.44
480,540,92,42.12
540,600,12,59.55
540,600,21,11.04
540,600,23,10.21
540,600,32,16.06
540,600,34,12.36
540,600,43,13.24
540,600,45,10.05
540,600,54,61.83
